file	line	heading	kind	normalized	raw
research/duckdb-driver-jl/findings.md	3	DuckDB.jl 1.5.2 — phase 1 verification findings	blockquote	> Superseded by reference.md, which merges these findings with the	> **Superseded by [`reference.md`](reference.md)**, which merges these findings with the
research/duckdb-driver-jl/findings.md	4	DuckDB.jl 1.5.2 — phase 1 verification findings	blockquote	> driver study, the capability spike and the benchmark sweep. Kept as the raw phase-1/2	> driver study, the capability spike and the benchmark sweep. Kept as the raw phase-1/2
research/duckdb-driver-jl/findings.md	5	DuckDB.jl 1.5.2 — phase 1 verification findings	blockquote	> record; where the two differ, reference.md wins. Two claims below were corrected	> record; where the two differ, `reference.md` wins. Two claims below were corrected
research/duckdb-driver-jl/findings.md	6	DuckDB.jl 1.5.2 — phase 1 verification findings	blockquote	> later — the finalizer line number (appender.jl:56, not :59) and the rationale for	> later — the finalizer line number (`appender.jl:56`, not `:59`) and the rationale for
research/duckdb-driver-jl/findings.md	7	DuckDB.jl 1.5.2 — phase 1 verification findings	blockquote	> the duckdbappendererror recipe in §1 (a hand-rolled ccall is not required;	> the `duckdb_appender_error` recipe in §1 (a hand-rolled `ccall` is **not** required;
research/duckdb-driver-jl/findings.md	8	DuckDB.jl 1.5.2 — phase 1 verification findings	blockquote	> the driver's own wrapper works when handed ap.handle). See reference.md Appendix A.	> the driver's own wrapper works when handed `ap.handle`). See reference.md Appendix A.
research/duckdb-driver-jl/findings.md	9	DuckDB.jl 1.5.2 — phase 1 verification findings	blockquote	>	>
research/duckdb-driver-jl/findings.md	10	DuckDB.jl 1.5.2 — phase 1 verification findings	blockquote	> Cross-references below are to this file's sections unless prefixed — spike §N	> Cross-references below are to **this file's** sections unless prefixed — `spike §N`
research/duckdb-driver-jl/findings.md	11	DuckDB.jl 1.5.2 — phase 1 verification findings	blockquote	> means .claude-work/notes/20260723-1530, study §N means	> means `.claude-work/notes/20260723-1530`, `study §N` means
research/duckdb-driver-jl/findings.md	12	DuckDB.jl 1.5.2 — phase 1 verification findings	blockquote	> .claude-work/notes/20260725-1007.	> `.claude-work/notes/20260725-1007`.
research/duckdb-driver-jl/findings.md	14	DuckDB.jl 1.5.2 — phase 1 verification findings	prose	Measured verdicts for the four behaviors that the driver study	Measured verdicts for the four behaviors that the driver study
research/duckdb-driver-jl/findings.md	15	DuckDB.jl 1.5.2 — phase 1 verification findings	prose	(.claude-work/notes/20260725-1007) left inferred or contradicted. Every claim	(`.claude-work/notes/20260725-1007`) left inferred or contradicted. Every claim
research/duckdb-driver-jl/findings.md	16	DuckDB.jl 1.5.2 — phase 1 verification findings	prose	below is produced by a script in this directory and cites the driver source line	below is produced by a script in this directory and cites the driver source line
research/duckdb-driver-jl/findings.md	17	DuckDB.jl 1.5.2 — phase 1 verification findings	prose	it confirms or refutes.	it confirms or refutes.
research/duckdb-driver-jl/findings.md	19	DuckDB.jl 1.5.2 — phase 1 verification findings	bullet	- environment: julia 1.12.6, DuckDB.jl 1.5.2, DuckDBjll 1.5.4, engine	- environment: julia 1.12.6, DuckDB.jl 1.5.2, DuckDB_jll 1.5.4, engine
research/duckdb-driver-jl/findings.md	20	DuckDB.jl 1.5.2 — phase 1 verification findings	prose	version() = v1.5.4, Threads.nthreads() = 1	`version()` = `v1.5.4`, `Threads.nthreads()` = 1
research/duckdb-driver-jl/findings.md	21	DuckDB.jl 1.5.2 — phase 1 verification findings	bullet	- driver source (ground truth for all file:line citations):	- driver source (ground truth for all `file:line` citations):
research/duckdb-driver-jl/findings.md	22	DuckDB.jl 1.5.2 — phase 1 verification findings	prose	/.julia/packages/DuckDB/2J7sd/src/	`~/.julia/packages/DuckDB/2J7sd/src/`
research/duckdb-driver-jl/findings.md	23	DuckDB.jl 1.5.2 — phase 1 verification findings	bullet	- reproduce: julia --project=. <script>.jl from this directory	- reproduce: `julia --project=. <script>.jl` from this directory
research/duckdb-driver-jl/findings.md	25	DuckDB.jl 1.5.2 — phase 1 verification findings	prose	---	---
research/duckdb-driver-jl/findings.md	29	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	assertion	Script: verifyblobappender.jl	**Script:** `verify_blob_appender.jl`
research/duckdb-driver-jl/findings.md	31	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	assertion	Question. The capability spike (spike §2) measured	**Question.** The capability spike (spike §2) measured
research/duckdb-driver-jl/findings.md	32	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	prose	appender × blob = ERR; the driver study (study §3a) found	appender × blob = `ERR`; the driver study (study §3a) found
research/duckdb-driver-jl/findings.md	33	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	prose	duckdbappendblob wired at appender.jl:94. Which is right?	`duckdb_append_blob` wired at `appender.jl:94`. Which is right?
research/duckdb-driver-jl/findings.md	35	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	assertion	VERDICT: both are. The path exists and is broken — a one-word type bug in the	**VERDICT: both are. The path exists and is broken — a one-word type bug in the
research/duckdb-driver-jl/findings.md	36	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	assertion	autogenerated C wrapper.	autogenerated C wrapper.**
research/duckdb-driver-jl/findings.md	38	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	table_row	Probe | Measured	| Probe | Measured |
