file	line	heading	kind	normalized	raw
research/duckdb-driver-jl/findings.md	3	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	blockquote	> This file states no verdicts. It is the record of how the driver findings	> **This file states no verdicts.** It is the record of *how* the driver findings
research/duckdb-driver-jl/findings.md	4	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	blockquote	> were arrived at: what each probe set out to settle, what confounded it, and how	> were arrived at: what each probe set out to settle, what confounded it, and how
research/duckdb-driver-jl/findings.md	5	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	blockquote	> far each boundary was actually pushed. Every result, capability table, code recipe	> far each boundary was actually pushed. Every result, capability table, code recipe
research/duckdb-driver-jl/findings.md	6	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	blockquote	> and correction it once carried now lives in reference.md, which	> and correction it once carried now lives in [`reference.md`](reference.md), which
research/duckdb-driver-jl/findings.md	7	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	blockquote	> is the single source of truth.	> is the single source of truth.
research/duckdb-driver-jl/findings.md	8	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	blockquote	>	>
research/duckdb-driver-jl/findings.md	9	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	blockquote	> To learn how DuckDB.jl behaves, read reference.md. Read this only to judge how	> To learn how DuckDB.jl behaves, read `reference.md`. Read this only to judge how
research/duckdb-driver-jl/findings.md	10	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	blockquote	> much weight a claim there can carry, or before re-running a probe.	> much weight a claim there can carry, or before re-running a probe.
research/duckdb-driver-jl/findings.md	11	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	blockquote	>	>
research/duckdb-driver-jl/findings.md	12	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	blockquote	> Section references are to this file unless prefixed: ref §N is	> Section references are to **this file** unless prefixed: `ref §N` is
research/duckdb-driver-jl/findings.md	13	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	blockquote	> reference.md, spike §N is .claude-work/notes/20260723-1530, study §N is	> `reference.md`, `spike §N` is `.claude-work/notes/20260723-1530`, `study §N` is
research/duckdb-driver-jl/findings.md	14	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	blockquote	> .claude-work/notes/20260725-1007. Corrections this work made to the spike and	> `.claude-work/notes/20260725-1007`. Corrections this work made to the spike and
research/duckdb-driver-jl/findings.md	15	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	blockquote	> the study are collected in ref Appendix A.	> the study are collected in ref Appendix A.
research/duckdb-driver-jl/findings.md	17	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	prose	Conditions these observations were made under: julia 1.12.6, DuckDB.jl 1.5.2,	Conditions these observations were made under: julia 1.12.6, DuckDB.jl 1.5.2,
research/duckdb-driver-jl/findings.md	18	DuckDB.jl 1.5.2 — probe notebook (phases 1 and 2)	prose	DuckDBjll 1.5.4, engine version() = v1.5.4, Threads.nthreads() = 1; driver	DuckDB_jll 1.5.4, engine `version()` = `v1.5.4`, `Threads.nthreads()` = 1; driver
