bucket	score	src_line	src_heading	src_text	best_tgt_line	best_tgt_text
unique	0.44	3	DuckDB.jl 1.5.2 — phase 1 verification findings	> Superseded by reference.md, which merges these findings with the	704	> an append() call should be made, after which the row should be finished by calling
unique	0.46	4	DuckDB.jl 1.5.2 — phase 1 verification findings	> driver study, the capability spike and the benchmark sweep. Kept as the raw phase-1/2	970	This is worse than a missing capability. The spike and the study both recorded list
unique	0.42	5	DuckDB.jl 1.5.2 — phase 1 verification findings	> record; where the two differ, reference.md wins. Two claims below were corrected	7	remain as historical record; where any of them disagrees with this document, this
unique	0.50	6	DuckDB.jl 1.5.2 — phase 1 verification findings	> later — the finalizer line number (appender.jl:56, not :59) and the rationale for	1548	§3b — "appender.jl:59 registers a finalizer" | The finalizer is at appender.jl:56; line 59 is a DB constructor overload
overlap	0.50	7	DuckDB.jl 1.5.2 — phase 1 verification findings	> the duckdbappendererror recipe in §1 (a hand-rolled ccall is not required;	85	2. Appender errors are silent, and a failed cell misaligns every subsequent
unique	0.40	8	DuckDB.jl 1.5.2 — phase 1 verification findings	> the driver's own wrapper works when handed ap.handle). See reference.md Appendix A.	1007	but defines no getcolumn, and its Tables.schema method references a field q the
short	0.00	9	DuckDB.jl 1.5.2 — phase 1 verification findings	>		
unique	0.42	10	DuckDB.jl 1.5.2 — phase 1 verification findings	> Cross-references below are to this file's sections unless prefixed — spike §N	733	and wrong-case labels are silently lost (verifyenumappender.jl) — see §5.1.2,
overlap	0.72	11	DuckDB.jl 1.5.2 — phase 1 verification findings	> means .claude-work/notes/20260723-1530, study §N means	5	(.claude-work/notes/20260723-1530), the driver study
overlap	0.67	12	DuckDB.jl 1.5.2 — phase 1 verification findings	> .claude-work/notes/20260725-1007.	5	(.claude-work/notes/20260723-1530), the driver study
unique	0.48	14	DuckDB.jl 1.5.2 — phase 1 verification findings	Measured verdicts for the four behaviors that the driver study	157	verify.jl scripts first (fast, and they settle behaviour), then the sweep if
overlap	0.60	15	DuckDB.jl 1.5.2 — phase 1 verification findings	(.claude-work/notes/20260725-1007) left inferred or contradicted. Every claim	5	(.claude-work/notes/20260723-1530), the driver study
overlap	0.52	16	DuckDB.jl 1.5.2 — phase 1 verification findings	below is produced by a script in this directory and cites the driver source line	21	- (verifyblobappender.jl) — measured by that script, in this directory. Run any
short	0.00	17	DuckDB.jl 1.5.2 — phase 1 verification findings	it confirms or refutes.		
overlap	0.54	19	DuckDB.jl 1.5.2 — phase 1 verification findings	- environment: julia 1.12.6, DuckDB.jl 1.5.2, DuckDBjll 1.5.4, engine	1162	When filing, note the environment precisely: DuckDB.jl 1.5.2 with DuckDBjll
unique	0.49	20	DuckDB.jl 1.5.2 — phase 1 verification findings	version() = v1.5.4, Threads.nthreads() = 1	133	DuckDB engine (version()) | v1.5.4 | measured at runtime
unique	0.48	21	DuckDB.jl 1.5.2 — phase 1 verification findings	- driver source (ground truth for all file:line citations):	3	Status: current. The single source of truth for DuckDB.jl behaviour in this
duplicated	1.00	22	DuckDB.jl 1.5.2 — phase 1 verification findings	/.julia/packages/DuckDB/2J7sd/src/	20	/.julia/packages/DuckDB/2J7sd/src/
overlap	0.62	23	DuckDB.jl 1.5.2 — phase 1 verification findings	- reproduce: julia --project=. <script>.jl from this directory	22	of them with julia --project=. <script>.jl
short	0.00	25	DuckDB.jl 1.5.2 — phase 1 verification findings	---		
overlap	0.79	29	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Script: verifyblobappender.jl	830	(verifyblobappender.jl).
unique	0.49	31	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Question. The capability spike (spike §2) measured	4	project. It supersedes the capability spike
unique	0.45	32	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	appender × blob = ERR; the driver study (study §3a) found	19	- (appender.jl:94) — read from the installed driver source,
overlap	0.59	33	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	duckdbappendblob wired at appender.jl:94. Which is right?	723	Date | duckdbappenddate | appender.jl:97-98 | ok
unique	0.44	35	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	VERDICT: both are. The path exists and is broken — a one-word type bug in the	368	with Base.returntypes). That is the argument for generated typed structs.
short	0.00	36	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	autogenerated C wrapper.		
short	0.00	38	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Probe | Measured		
unique	0.39	40	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Julia dispatch for Vector{UInt8} | selects appender.jl:94 (the blob method), not the AbstractVector list method at appender.jl:106	993	- An empty Julia vector appends as NULL, not [] (appender.jl:108-111). This is
overlap	0.60	41	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	DuckDB.append(ap, ::Vector{UInt8}) | throws cannot convert a value to nothing for assignment; 0 rows land	827	cannot convert a value to nothing for assignment. The C argument is void =
unique	0.48	42	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	same C entry point, re-declared with Ptr{Cvoid} | DuckDBSuccess (0), 1 row, all 4 bytes round-trip exactly	829	DuckDBSuccess (0), writes the row, and round-trips every byte
unique	0.50	44	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Root cause. api.jl:7257-7266 declares duckdbappendblob's data	941	There is no discard path. api.jl:6820 documents duckdbappenderdestroy as
overlap	0.64	45	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	argument as Ref{Cvoid}. Cvoid === Nothing, so Julia attempts	825	api.jl:7257-7266 declares the data argument as Ref{Cvoid}. Cvoid === Nothing, so
duplicated	0.82	46	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	convert(Nothing, payload) and throws before any C call happens. The C API	826	Julia attempts convert(Nothing, payload) and throws before any C call happens:
unique	0.43	47	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	argument is void, which is Ptr{Cvoid} in Julia's ccall ABI. Bypassing the	736	The appender is not vectorized on the Julia side: one ccall per cell plus one per
unique	0.41	48	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	wrapper with Ptr{Cvoid} works perfectly, which localises the defect to the	1257	8 per row on this 5-column profile (1.6 per cell), which is what "one ccall per
overlap	0.51	49	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	argument-type tuple at api.jl:7261.	834	> defect is exactly that confusion, at api.jl:7261.
unique	0.42	51	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	> Upstream-issue candidate (goal's stretch item): duckdbappendblob is	979	type.handle plus each child handle and passes them to duckdbcreatelistvalue
unique	0.43	52	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	> unusable from Julia in 1.5.2. Note api.jl is autogenerated	516	register works (a Julia String column is in createlogicaltype coverage and
overlap	0.72	53	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	> (scripts/generatecapijulia.py, per its own header at api.jl:1-9), so the	836	api.jl is autogenerated (scripts/generatecapijulia.py, per api.jl:1-9), so the
duplicated	0.92	54	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	> fix belongs in the generator's type map, and other Ref{Cvoid} arguments in	837	fix belongs in the generator's type map. Inferred: other Ref{Cvoid} arguments in
overlap	0.80	55	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	> api.jl may carry the same defect.	838	api.jl may carry the same defect — not surveyed.
unique	0.45	57	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Workarounds measured, for the blob writer tier:	947	is closed by the GC at an arbitrary later time:
short	0.00	59	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Path | Result		
unique	0.39	61	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	prepared-statement bind of Vector{UInt8} (statement.jl:66) | works, exact byte round-trip incl. 0x00 and 0x27	720	Base.UUID | stringified, then varchar append | appender.jl:93 | ok — exact round-trip
overlap	0.52	62	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	appender append(::String) — ASCII bytes | works, exact round-trip: the C appender does cast VARCHAR→BLOB	840	Do not substitute append(::String) as a workaround: ASCII bytes round-trip (the C
overlap	0.60	63	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	appender append(::String) — valid non-UTF-8 bytes | silently loses the row (see below)	841	appender does cast VARCHAR→BLOB), but valid non-UTF-8 bytes are silently lost, and
overlap	0.80	64	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	appender append(::String) — bytes containing 0x00 | throws ArgumentError: embedded NULs are not allowed in C strings	842	bytes containing 0x00 throw ArgumentError: embedded NULs are not allowed in C
unique	0.42	66	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	So the String-cast trick is not a general blob path: it only carries bytes that	62	work with. Streaming reads exist in 2048-row chunks and work, with one trap
unique	0.41	67	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	are simultaneously valid UTF-8 and NUL-free. Generated code must use the	53	know which using lines generated code needs | §8.3
unique	0.49	68	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	prepared bind (or the literal path) for BLOB columns.	595	the literal path.
unique	0.42	70	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Bonus — gotcha 2 (silent appender errors) reproduced live. Appending	984	- H2 — the appender retains the duckdbvalue past append. Would explain why bind
overlap	0.51	71	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	non-UTF-8 bytes as a String produced no Julia-level exception at any step,	1322	- Writes: all 24 orderings reproduced. Every write recommendation is stable.
unique	0.42	72	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	yet 0 rows landed. The C error slot held	48	find out why appended rows vanished or got scrambled | §5.1.2
